Date,Price,Open,High,Low,Change %
2022-11-30,46.15,49.87,49.87,46.03,-3.67%
2022-11-29,47.91,49.81,49.94,47.56,-5.19%
2022-11-28,50.53,53.39,53.44,50.08,0.74%
2022-11-25,50.16,51.87,52.81,49.7,-2.72%
2022-11-24,51.56,51.56,51.56,51.56,0.00%
2022-11-23,51.56,47.89,51.56,47.32,11.36%
2022-11-22,46.3,46.78,46.91,45.54,-1.72%
2022-11-21,47.11,47.56,54.81,47.1,2.57%
2022-11-20,45.93,45.93,45.93,45.93,0.00%
2022-11-19,45.93,45.93,45.93,45.93,0.00%
2022-11-18,45.93,46.44,47.71,45.63,1.30%
2022-11-17,45.34,45.77,46.26,44.6,0.49%
2022-11-16,45.12,46.87,46.87,44.82,-3.42%
2022-11-15,46.72,47.52,47.53,44.38,5.18%
2022-11-14,44.42,45.43,45.43,42.25,5.61%
2022-11-11,42.06,44.47,44.81,41.74,-3.27%
2022-11-10,43.48,46.46,46.7,43.19,-4.19%
2022-11-09,45.38,45.91,45.91,44.2,0.75%
2022-11-08,45.04,45.76,46.41,43.94,-0.16%
2022-11-07,45.11,45.88,48.26,45.07,-5.03%
2022-11-04,47.5,46.77,47.63,45.92,2.22%
2022-11-03,46.47,47.83,48.1,46.47,-2.68%
2022-11-02,47.75,47.1,50.93,47.03,1.51%
2022-11-01,47.04,47.79,48.18,46.18,-0.78%
2022-10-31,47.41,49.62,49.77,47.29,-0.84%
2022-10-28,47.81,48.92,51.99,47.62,-2.47%
2022-10-27,49.02,48.05,51.12,47.79,0.91%
2022-10-26,48.58,47.08,48.64,46.58,2.71%
2022-10-25,47.3,47.16,47.77,46.59,-1.00%
2022-10-24,47.78,47.65,51.02,47.45,1.25%
2022-10-21,47.19,50.45,50.45,46.47,-1.65%
2022-10-20,47.98,50.43,51.16,47.94,0.42%
2022-10-19,47.78,52.25,52.25,47.48,-2.73%
2022-10-18,49.12,53.62,53.63,48.66,-2.29%
2022-10-17,50.27,56.51,56.55,49.76,-0.06%
2022-10-14,50.3,53.83,53.94,50.16,-0.44%
2022-10-13,50.52,59.41,59.47,49.59,-1.94%
2022-10-12,51.52,53.67,55.11,50.44,-0.77%
2022-10-11,51.92,54.56,54.62,51.01,0.97%
2022-10-10,51.42,50.79,54.66,50.73,-4.14%
2022-10-07,53.64,54.42,56.27,53.54,0.47%
2022-10-06,53.39,56.38,56.42,53.13,-1.49%
2022-10-05,54.2,58.51,58.59,53.99,-8.92%
