Date,PNL,STD_A,STD_B,STD_C,STD_D,STD_E,STD_F,STD_G,STD_Sum,STD_Total,STD_Diff,Open_Vol,Perc_Change_Vol,Perc_Change_Price,Volume,Open_Int,Range,High_Diff,High_Vol,High_PC_Price,High_PC_Vol
2022-05-23,24312.0,65465.43800820163,23406.803023884026,5775.328264967353,1213.682770914986,11551.042377825024,6028.590974474356,97877.7688280999,211318.65424836724,144082.22521945593,67236.42902891131,53.52,4.12,1.15,458164.0,1713012.0,1.8200000000000074,0,1,0,1
2022-05-20,-16317.0,66131.7104275495,226484.8688263376,6214.773069478516,42.67610004519891,13472.70972107376,5456.533883629217,103609.6528786993,421412.924906813,276256.7260877501,145156.1988190629,51.16,0.86,0.25,430973.0,1707194.0,1.4500000000000028,1,1,0,0
2022-05-19,168933.0,76721.30082156412,23938.144537295488,10415.838687793865,815.6093695248635,13798.794404663751,10472.100840644143,113313.74158735224,249475.53024883848,177779.62168069408,71695.9085681444,51.89,1.41,2.0,779111.0,1712368.0,3.1500000000000057,0,1,1,0
2022-05-18,101545.0,53873.99214569075,24961.34377239732,8755.438732732304,632.370236590109,9622.42638736271,6123.708506257498,98931.07994056912,202900.3597215998,143263.24219722248,59637.1175243773,50.34,3.08,2.53,790137.0,1721970.0,4.0,0,1,1,1
2022-05-17,-14121.0,63624.78899669292,25343.86469401876,8409.198308744808,1143.461615240304,21592.077999560446,7288.113429233967,116881.34086339052,244282.84590688173,171958.46877989068,72324.37712699105,51.89,2.99,1.3,739740.0,1730665.0,2.509999999999991,0,1,0,1
2022-05-16,-84953.0,59185.34128126451,20361.56003033513,2973.663575213284,541.687209999194,24830.5027969409,15322.173729754088,112695.33864443965,235910.26726794677,153697.23861904227,82213.0286489045,55.96,1.31,0.67,725075.0,1765892.0,2.780000000000001,0,1,0,0
2022-05-13,-239972.0,62320.06570627698,21281.193229782195,2025.01254737184,2524.592578221705,18106.64410641065,33399.18455200712,112620.0983961776,252276.7911162481,172969.7145264063,79307.0765898418,52.71,2.83,2.06,610648.0,1752279.0,1.8800000000000097,0,1,1,1
2022-05-12,-341096.0,63620.24912512164,25001.564932821253,2221.9474701863915,82.83411298874624,20620.303805023625,10362.481260607628,97375.07775582452,219284.4584625738,156186.6785722075,63097.779890366306,53.43,1.35,0.46,794110.0,1737758.0,2.3200000000000074,0,1,0,0
2022-05-11,-381249.0,75470.24199408674,34134.99250223581,5784.404415126356,3620.5116982208897,18818.75416189881,10829.96752809022,100967.80197661504,249626.67427627387,164486.68024804263,85139.99402823125,56.06,4.69,4.74,889954.0,1736669.0,4.859999999999999,0,1,1,1
2022-05-10,-348936.0,90291.13435767764,26214.557407185886,4622.523801106622,2846.486517678433,19162.82686390373,9341.551382198975,98662.68990357476,251141.77023332607,181430.06619446864,69711.70403885742,57.9,3.18,1.97,890471.0,1736594.0,3.009999999999991,0,1,1,1
2022-05-09,-168807.0,90013.35865889848,29995.39468319742,3897.741467810463,6179.131311497084,16680.05164594186,8514.018586441005,93440.64021546984,248720.33656925612,168684.4953464723,80035.84122278381,57.92,5.62,4.35,839167.0,1734325.0,5.269999999999996,0,1,1,1
2022-05-06,-323425.0,89938.85357460334,20692.097782633984,3683.32973057378,1826.856909860533,21523.91844198473,11826.416598372489,75816.92848807904,225308.40152610783,164179.66471273647,61128.73681337136,54.72,0.18,0.88,678952.0,1742290.0,2.1499999999999915,0,1,0,0
2022-05-05,27826.0,81854.8455680934,20729.55006350973,2019.492310500822,1715.885620546914,24911.675853430817,28298.600597851968,71026.44315734938,230556.49317128304,157054.3032020665,73502.18996921653,53.15,2.95,0.31,665513.0,1798557.0,2.8900000000000006,0,1,0,1
2022-05-04,-113375.0,95023.53411257936,24266.510356325754,1948.703447029446,2241.9362750497926,18044.05308738612,22489.2980917519,74336.24029354329,238350.27566366567,168922.4545306069,69427.82113305878,54.04,1.65,3.89,594515.0,1747914.0,3.3599999999999994,0,1,1,0
2022-05-03,-271960.0,93945.89446248591,27058.957627060405,1971.506461396241,2922.4109563726256,24755.128577892017,12556.34848468699,70279.17868480012,233489.4252546943,167042.08701066498,66447.33824402932,54.15,0.2,0.82,568409.0,1751564.0,1.7399999999999949,0,1,0,0
2022-05-02,-344438.0,95995.19053746498,27861.37937004468,3145.3427124292543,512.7800613277716,17525.136085830836,7603.863208638506,70366.59945844059,223010.29143417664,165131.37857328352,57878.91286089312,56.98,1.98,0.71,605484.0,1758210.0,3.039999999999992,0,1,0,0
2022-04-29,-170953.0,105113.31038883283,809016.5320918172,3904.0276880564393,272.458738835782,24918.84264809915,10056.601484684235,66382.8351941506,1019664.6082344764,829758.0869298379,189906.52130463847,51.94,2.23,0.92,658361.0,1752306.0,2.440000000000012,1,1,0,0
2022-04-28,-16830.0,107884.26712136972,27243.28326385306,1970.2241975378768,5531.750032850556,23718.76961613203,1204.9518500452043,83621.1174589573,251174.36354074575,181172.2022553541,70002.16128539166,53.38,2.7,0.5,701841.0,1751739.0,2.3100000000000023,0,1,0,1
2022-04-27,-97651.0,144503.51477433962,33801.81238045148,3296.2767795362947,38759.356850574586,23483.346148926325,24025.89392000424,111350.67352453592,379220.8743783685,201782.5769821426,177438.29739622588,53.57,0.35,0.08,544574.0,1742759.0,1.7099999999999937,1,1,0,0
2022-04-26,-167594.0,157896.4183340978,42502.88481625208,2122.3628122023515,61.69927275375007,13663.18284501344,17900.130835042735,110034.69400449174,344181.37291985395,226124.6262034705,118056.74671638344,52.86,1.34,1.33,685031.0,1733586.0,2.530000000000001,1,1,0,0
2022-04-25,170622.0,180144.26132332155,22581.62621467576,2113.843612428502,1354.1531603710237,15900.755996221507,13461.507748192944,113509.33439707335,349065.4824522846,269732.0249935648,79333.45745871979,56.0,3.34,2.29,647830.0,1728613.0,3.1899999999999977,0,1,1,1
2022-04-22,-79995.0,146648.0787582941,27889.75176327088,3980.0976449522695,6543.268293070074,16575.373708655996,1576.639480713504,112510.73180228284,315723.9414512397,214637.97152276096,101085.96992847873,49.86,2.59,2.42,440249.0,1729425.0,2.9499999999999886,0,1,1,0
2022-04-21,-138847.0,159750.0887372433,25742.340295162416,2784.662910480344,55.85172432396536,11167.99314493043,11568.394750551744,96018.980693198,307088.3122558902,208617.18976100095,98471.12249488928,52.23,4.54,1.65,551943.0,1727970.0,2.3499999999999943,0,1,1,1
2022-04-20,-9165.0,160729.94131873644,25162.593583908427,2848.128694983089,559.0902572686791,13342.592489923354,7119.6847925850825,102008.9732897065,311771.0044271116,216322.53399062215,95448.47043648944,50.34,3.75,0.63,586212.0,1733387.0,2.0799999999999983,0,1,0,1
2022-04-19,-314200.0,154253.76133219703,24472.24670853938,1842.2962780425053,4374.239137379882,10991.126339055185,4071.199490547511,80447.57342042228,280452.44270618376,206879.587694394,73572.85501178977,50.94,1.18,4.61,729401.0,1740300.0,4.429999999999993,0,1,1,0
2022-04-18,-329996.0,180913.6189225147,21152.30909699205,3154.395639739327,645.5813530869716,3553.962152893589,3448.3975943233118,75041.11420042673,287909.3789599767,216311.93267644127,71597.44628353545,55.2,4.57,0.27,461191.0,1756157.0,2.1099999999999994,0,1,0,1
2022-04-14,-161548.0,174287.8444856532,24452.70889854288,2674.748394809132,5453.015419764432,10124.293192586329,13762.23263853746,78621.84908904704,309376.69211894047,240226.71902126173,69149.97309767874,51.2,4.26,0.52,664935.0,1762779.0,2.3000000000000114,0,1,0,1
2022-04-13,149167.0,243136.8489657867,20954.27799150864,2012.3322816105112,1639.5472356718385,12858.737647106733,2427.5795183789464,71007.29401652681,354036.6176565902,294443.9112529196,59592.7064036706,55.25,7.33,2.22,863496.0,1775320.0,2.700000000000003,0,1,1,1
2022-04-12,29385.0,234350.38088040048,18441.485616999827,2342.850350163084,1707.265290314066,4930.7363401066095,9549.210327197236,70720.71140020821,342042.64020538947,281153.0944799609,60889.54572542856,54.81,0.8,3.12,878974.0,1783725.0,2.4399999999999977,0,1,1,0
2022-04-11,-218333.0,212932.28356906108,20886.601358958505,2125.750638894614,838.7937769999135,22634.598776746767,6942.362487559559,77524.92346563621,343885.3140738567,271060.3281145652,72824.98595929146,57.38,3.14,2.03,824381.0,1788190.0,3.3799999999999955,0,1,1,1
2022-04-08,-13780.0,201552.67093553935,24821.73470535408,1221.4258402109451,2499.707191354285,8765.100306734668,18172.24583294619,86499.46014305274,343532.3449551923,243622.39210158616,99909.95285360614,54.23,2.01,1.47,711841.0,1802330.0,2.210000000000008,0,1,1,0
2022-04-07,130319.0,236396.71116365297,23432.892914301705,2094.2422588078016,312.95089660124927,8130.095003556542,17124.7322898213,98667.32829515144,386158.952821893,286484.8440482539,99674.10877363908,53.15,2.03,1.06,941077.0,1824078.0,2.3700000000000045,0,1,0,0
2022-04-06,143910.0,179313.43716964574,28828.83757001176,882.1867159534266,1941.3397353458715,14173.71735392766,10614.663600726724,109985.51908746174,345739.7012330729,242796.9858340352,102942.7153990377,53.8,1.21,2.77,945219.0,1839132.0,3.799999999999997,1,1,1,0
2022-04-05,-241084.0,184701.974192542,26363.16312775366,2130.3789491362795,1259.1553885002163,31251.114418480185,6948.136433925899,103324.83759631155,355978.76010664983,222326.2999442307,133652.46016241913,54.31,0.94,0.88,646086.0,1823366.0,2.460000000000008,1,1,0,0
2022-04-04,-212441.0,173600.2654902285,24913.243477085467,920.3890826122304,2151.747595785238,3212.5685052070376,7281.968459146366,108946.4782004688,321026.6608105337,221131.48158181712,99895.17922871656,56.29,0.09,2.87,719550.0,1803467.0,3.280000000000001,0,1,1,0
2022-04-01,-297171.0,204649.81955482016,20916.119191023383,619.0309790133867,828.3849679878534,22531.85091013817,7175.010220593319,122138.98178634592,378859.19760992215,275231.3753738825,103627.82223603968,57.66,5.72,2.67,852537.0,1791481.0,3.019999999999996,1,1,1,1
2022-03-31,193546.0,185090.8942297212,29856.47319075604,2536.568595529383,1644.2113254001874,7086.172122460942,6318.382533314173,160567.5583493538,393100.2603465357,278149.04420503386,114951.21614150185,61.04,5.54,1.81,1147465.0,1805276.0,3.280000000000001,1,1,1,1
2022-03-30,-115315.0,210635.20692596832,25074.057502183598,1285.2879513082296,1062.7721598569055,19588.912139887623,5517.654436871991,157083.9625643085,420247.8536803852,270625.2063167788,149622.64736360643,62.46,2.27,3.04,594337.0,1806727.0,2.6400000000000006,1,1,1,0
2022-03-29,-320508.0,164002.6162409152,43086.07993993386,1184.300284340588,222.21810789184875,21670.67477870044,9997.485325183854,136440.72962567065,376604.10430263646,247085.0113865204,129519.09291611606,67.04,6.83,0.24,813338.0,1795929.0,4.329999999999998,1,1,0,1
2022-03-28,-36752.0,194869.16147514308,23715.106325066583,1230.8616321529355,2762.4597484503324,15518.021162371037,2767.0572523219416,157381.82103933525,398244.4886348412,313584.4738112697,84660.01482357155,70.73,2.71,4.45,770776.0,1797764.0,4.700000000000003,0,1,1,1
2022-03-25,285751.0,167861.0653112289,19204.00901988589,1535.3596526187928,0.0,8114.399884694195,4687.564726313186,102689.59867605571,304091.9972707967,233770.91752756655,70321.07974323013,69.14,0.33,1.42,673363.0,1798893.0,3.7099999999999937,0,1,0,0
2022-03-24,-210605.0,155892.6744846318,20367.84090964617,1257.864898751337,1628.8615508846488,789.2731884641497,5532.543158291519,88549.5144872403,274018.5726779099,204125.85403351532,69892.7186443946,72.59,4.75,2.45,640914.0,1794775.0,3.6500000000000057,0,1,1,1
2022-03-23,295543.0,133186.50619208463,20584.97392874942,810.0005653706878,1503.8961866262437,20409.891325221804,3723.947673511161,68176.23916194787,248395.45503351183,167259.091817833,81136.36321567884,69.56,4.36,2.58,692393.0,1785090.0,2.809999999999988,0,1,1,1
2022-03-22,274242.0,142786.87192860714,1268139.5946881168,1756.986393764411,916.8215685367808,1713.0831800293045,5308.7870584085495,64689.65093838436,1485311.7957558476,1276651.0245376895,208660.77121815807,70.78,1.72,0.72,641338.0,1785352.0,2.6500000000000057,1,1,0,0
2022-03-21,23484.0,128813.98135486848,22366.678206872628,3756.419246866133,370.37355613768966,2402.8649845124646,3854.527779030464,55109.38492063745,216674.23004892527,169591.65832186656,47082.571727058705,71.81,2.45,3.77,647851.0,1791376.0,3.6899999999999977,0,1,1,0
2022-03-18,7632.0,74311.54742015904,22138.045531058106,709.5768023481969,769.5643260471595,16978.633809233597,5134.688718264897,70852.75176890507,190894.80837601604,95842.00857123765,95052.79980477839,67.78,1.93,0.82,489955.0,1793331.0,2.1799999999999926,0,1,0,0
2022-03-17,375101.0,49853.259271182666,18104.08844864221,821.8703892883369,505.50936559631856,24860.730435882724,3627.5791535172734,58740.0616124713,156513.09867658082,95692.89951983345,60820.199156747374,59.35,14.2,5.83,766617.0,1797129.0,5.460000000000008,0,1,1,1
