,Date,STD_A,STD_B,STD_C,STD_D,STD_E,STD_F,STD_G,STD_Sum,STD_Total
222,2022-11-10,35365.651984698816,21478.88300502825,6274.621108658987,182.02891339681904,20845.352438354726,4805.496141440393,230932.8006258034,319884.8342173814,226337.72247603763
223,2022-11-11,57317.08022611475,19763.596809197006,6876.306319495439,733.1476062149103,24564.12868779141,16046.800710890773,248028.32780810032,373329.38816780463,257035.11299392142
224,2022-11-14,66167.6631741691,22920.67803861366,6979.081808034343,2099.653601439593,24988.890774616775,11008.191438114904,242675.1853083574,376839.3441433458,244343.72422109148
225,2022-11-15,67550.40189073732,20321.39279542255,11109.603116114287,1067.381573483674,22966.936301344667,4887.205757638667,256058.69724354622,383961.61867828737,282902.537708679
226,2022-11-16,78093.2272609792,18801.194494148065,8325.1656055088,630.5778620903291,24600.25403248934,4586.598267186809,264975.8019672108,400012.8194896133,291329.6307556637
227,2022-11-17,77010.747673665,19630.846816601155,8952.471590473662,2200.5337647195734,24376.714327060305,9923.21387151611,278641.84625693073,420736.3743009665,318712.519347222
228,2022-11-18,65762.33621777447,21662.900146142278,16545.147325129416,1486.6018244836498,21111.933456397543,2033.5357009433387,288722.0392063931,417324.4938772638,327977.0709727802
229,2022-11-21,60785.068497455904,46048.21174321722,5106.8566308166455,944.8737383146178,21183.55194791698,18046.10530165456,322861.5842863226,474976.2521456985,342983.14079823735
230,2022-11-22,85958.63581681107,23251.823319464223,4427.062630465717,604.810354756472,22904.089654137082,3585.6740810427173,315265.1285853572,455997.2244420345,349092.6785189844
231,2022-11-23,112130.0531743601,22823.67830421496,5153.1630182344325,884.3045106649901,19832.49818770505,3549.472811000136,312442.3503169993,476815.52032317896,369577.4321447091
232,2022-11-24,102905.20485381593,22592.51967807137,6217.944973271209,150.86070654459527,13221.472793892666,2330.550899434188,325944.42786468216,473362.9817697121,357954.62609316566
233,2022-11-25,104889.43273996991,21351.7398724289,5280.034376785268,2901.3978066857458,10971.89711096948,14861.740778256293,325636.7778278368,485893.0205129324,358664.8259254183
234,2022-11-28,91110.05249753244,23796.450714384508,4322.500657980309,4092.925215765134,20907.284746903093,10620.449533144403,329110.9149881273,483960.5783538372,354807.38927202905
235,2022-11-29,83311.34029255409,37873.369945161015,5704.375917476524,1250.53197127243,21128.49134590873,29284.459633454313,376300.79815552774,554853.3672613548,399695.6584356889
236,2022-11-30,117096.76389086082,93117.65227019864,4566.006890219858,2713.528162720827,20102.649869257348,9643.386974382256,393959.7914806346,641199.7795382743,450212.5666711865
237,2022-12-01,121418.37161519402,24799.82704212841,4692.868508724031,1314.4827554688457,19895.51389309357,6242.134977361699,351789.98287513945,530153.1816671101,414233.04906237155
238,2022-12-02,97190.88773059349,26773.041598486998,8601.0247770882,1128.4754383468044,23697.95197821594,16567.547751511684,360010.77756701055,533969.7068412537,403034.4294488911
239,2022-12-05,72896.96412029187,25132.084919732406,4279.435792701919,1599.4537687539885,21599.460552146364,8153.809166603578,345795.5168343519,479456.725154582,358249.01228444104
240,2022-12-06,79148.0424399455,24297.47883273081,5724.057351038288,3199.1298217624194,20031.004125561238,6100.416320078089,358670.10594671674,497170.23483783304,348683.0728344547
241,2022-12-07,75789.81182338536,21919.16500469567,8005.3463700463235,939.2343441577383,23868.54509457289,11212.482710353235,340623.4801504983,482358.0654977095,347611.7553016385
242,2022-12-08,98939.22872425348,21136.37586288733,7839.28244666362,5395.439120524904,22104.598516836006,4880.545068165958,354678.23906028434,514973.7087996156,353660.916372435
243,2022-12-09,90801.62209876324,24197.279740080055,9276.894255814173,1351.0869466369365,18821.6863066644,3547.8244427009713,380242.1480034558,528238.5417941156,390742.1437201652
244,2022-12-12,74685.13389971205,18839.03850077643,5117.1726493365595,1552.613802072266,22300.909427286828,19223.673122063825,381154.5409736128,522873.08237486077,396583.32970019215
245,2022-12-13,84705.97073916251,27574.633584627914,5884.288329323945,686.3639128437195,21022.23330390853,8327.499440178026,350444.8226308623,498645.8119409069,368254.90669625317
246,2022-12-14,88698.28610392576,20075.77819546296,8425.33388837821,605.9487499010426,24013.15517119886,16265.288687389751,315626.5845167386,473710.37531299517,327975.2122036312
247,2022-12-15,85286.89630521118,24563.95860411615,6285.247405500055,442.0433176841114,22200.94248998926,2840.5280469329105,308053.622628887,449673.23879832064,320223.53083799017
248,2022-12-16,73849.50301153123,20237.402575030585,12188.599824127909,781.2332429423511,22819.382187674568,15447.037749880852,299801.2340831402,445124.3926743277,282843.9795246432
249,2022-12-19,52857.26176554445,16451.642823468315,6540.836922361894,1716.8853173232465,17944.884721745027,2926.5571140595666,278347.3869195963,376785.4555840988,279231.1281351271
250,2022-12-20,53062.06802350848,651487.6063300471,5926.912278582789,57.86829952058271,17903.170484946673,20049.59622825646,254715.518189807,1003202.7398346692,701439.3692453605
251,2022-12-21,70757.1049542876,18926.86418377872,5279.890277514703,5923.601128391911,24893.20872083827,2244.762040099011,261687.32345889552,389712.7547638057,270633.46995945385
252,2022-12-22,43569.367435841756,18157.83552663106,3924.612168757782,559.1202965564331,21940.88856031578,17011.316246366343,240113.90877926146,345277.0490137306,246348.88520161822
253,2022-12-23,45791.915353713186,19207.597341437813,5965.1485357122065,1814.9679135163315,22809.67188639707,23555.960203065348,252156.35411634433,371301.6153501863,271550.4987551541
254,2022-12-27,55598.48686933309,19698.671164320123,7542.940524355245,1264.5225861608994,15443.371310314573,9081.817732543128,256397.23672193175,365027.0469089588,262954.77503384737
255,2022-12-28,68587.61458819141,16127.192095464963,6054.703876289835,1907.7169926291283,24361.32366007809,2570.314197428002,252445.33480825613,372054.2002183376,281301.1481053782
256,2022-12-29,62985.13245648846,19773.654529086252,15073.23665748931,3091.7373823444677,23320.31877228406,8198.336704004045,248718.0820236065,381160.4985253031,255891.15507699028
257,2022-12-30,58779.467494430195,95364.37495215218,9347.056350734738,10315.85964665854,24509.47460370587,18889.22141172181,246405.34827754888,463610.8027369522,271203.7917268366
258,2023-01-03,57097.62620248539,17618.396163521127,14617.18476107048,1089.2153273271433,19011.90186055645,19690.229144513723,236846.45678882633,365971.0102483006,250024.1272250749
259,2023-01-04,76517.83335186333,24360.063736273707,13317.584696392323,552.7033674926331,33052.34574422367,11696.418949587554,241461.4870391612,400958.43688499444,269992.3746208998
260,2023-01-05,50600.145172106844,15153.982066847375,11758.043806525086,1904.6368142846186,28868.211611963547,9539.64857296874,268042.5379524834,385867.2059971796,282641.163455731
261,2023-01-06,70441.28225792796,22105.323342403506,7920.674844214544,498.73370081472325,32113.269105513948,12799.270638502061,336289.8239261575,482168.37781553424,327065.3139131176
262,2023-01-09,51411.72881186572,18778.951328421383,11961.57488740501,931.2786475008081,29453.820863283785,13146.700772369355,334587.2304012847,460271.2857121308,354917.8439299195
263,2023-01-10,77489.06478222818,16088.879969409858,13383.824572729443,315.8387304836026,16298.381615936758,18634.448702963666,311927.70890644426,454138.1472801957,321482.3615900998
264,2023-01-11,53069.27110760787,18373.789706261643,12703.573335096553,554.7870871359189,30918.461278785628,3948.7212060838856,301823.33278695657,421391.93650792807,326734.185690652
265,2023-01-12,68610.82714596431,17803.176312405896,8295.254135295016,3493.9087521263623,25082.044774176848,6745.288788032685,265768.59609983617,395799.0960078373,290230.3167353891
266,2023-01-13,64692.02218236574,22956.447889830008,19231.12282951905,6427.031717466952,29154.322587376213,30911.656752138762,255586.22292011534,428958.82687881205,263502.7174418113
267,2023-01-16,64116.656620725895,21029.348670971813,11607.536022232001,5342.403528136384,16241.344480570144,6096.743060198435,249534.43716117213,373968.4695440068,259279.44903051507
268,2023-01-17,85032.00812068945,19870.815357458687,20725.845231621537,1553.4834097973358,19453.789127343756,6740.29538762506,252914.51049424498,406290.7471287808,273630.7276949484
269,2023-01-18,92501.09770217228,19990.923952133697,14048.461243533524,932.6230762774101,14739.437868697474,15468.824582628324,251756.28853138836,409437.6569568311,277390.9945836143
270,2023-01-19,101914.31205374417,22110.898259372927,14614.274049228154,7515.684449941965,34594.24377268374,19995.75184351294,280162.08002813166,480907.24445661553,316534.9691068173
271,2023-01-20,96876.57198580449,20632.57649238253,8364.890634115116,4052.0827606358966,36886.77222357006,14252.290172004006,265188.215467907,446253.3997364191,289943.854892865
272,2023-01-23,79975.37252895029,22396.556370722534,5024.295379475202,3402.0428100578824,39292.70356538684,16770.55442486179,256333.35491419054,423194.87999364507,268303.33512311534
